w_recon,w_pred,w_grad,roc_auc,pr_auc,best_f1,best_f1_threshold,best_f1_accuracy,best_f1_balanced_accuracy,best_f1_precision,best_f1_recall,best_f1_far,p99_threshold,p99_f1,p99_balanced_accuracy,far_le_1pct_threshold,far_le_1pct_recall,far_le_0.5pct_threshold,far_le_0.5pct_recall
1,1,4,0.8886885154,0.7742948494,0.7458528972,0.07522457093,0.9202260476,0.8625485263,0.7144353048,0.7801427233,0.05504567076,0.4370940894,0.6799074066,0.7671155977,0.4370940894,0.5442359619,0.8419062734,0.4534909351
1,2,0.5,0.8892927085,0.7139511765,0.7955920329,0.04866931587,0.9412598803,0.8673891996,0.8324452071,0.7618476883,0.02706928921,0.1507175319,0.699725312,0.779273261,0.1507175319,0.5685099465,0.7155779794,0.08469719513
1,2,1,0.8893928315,0.7210922013,0.7750336901,0.05352248624,0.9334011311,0.8638836232,0.7857790112,0.7645616355,0.03679438916,0.188413325,0.7051434649,0.7826983089,0.188413325,0.5753843611,0.7578172714,0.1986692015
1,2,2,0.8894028275,0.7396462314,0.7672929179,0.06082612276,0.9300009095,0.8637552418,0.7654696776,0.7691078415,0.041597358,0.2738292783,0.7039821588,0.782005027,0.2738292783,0.5740342756,0.8494244576,0.3350140519
1,2,3,0.8889413297,0.7515737563,0.750935706,0.06792667508,0.9226961173,0.8625721695,0.7268355573,0.7766710751,0.05152673612,0.3614517629,0.6775625609,0.765705543,0.3614517629,0.54142558,0.9251173496,0.3995150714
1,2,4,0.8885912717,0.7582349563,0.7446438303,0.07521562278,0.9196100804,0.8626115944,0.7113608992,0.7811759519,0.05595276311,0.4531457052,0.6778083278,0.7658424983,0.4531457052,0.5416873312,1.015759826,0.4282939329
1,3,0.5,0.8887786999,0.7076032924,0.7910329633,0.04942416772,0.9394202467,0.8672599495,0.8198439209,0.7641621205,0.02964222138,0.1560484037,0.6989787263,0.7788194489,0.1560484037,0.5676144817,0.9352165833,0.0331046454
1,3,1,0.8892047257,0.7128623536,0.7711836853,0.0532861501,0.9316276416,0.8642073575,0.7744969987,0.7678817435,0.03946702853,0.1967326939,0.7033273594,0.7815504129,0.1967326939,0.5730837053,0.9846780971,0.1076210944
1,3,2,0.8891144214,0.7231713289,0.7638853872,0.06039681286,0.9282997652,0.8638152326,0.7556319978,0.7716840249,0.04405355979,0.2813969478,0.7028772903,0.7813004071,0.2813969478,0.5726153083,1.062283391,0.2597536783
1,3,3,0.8886420052,0.7343110799,0.7491625485,0.06796232611,0.9218341767,0.8625869688,0.7224240718,0.7779385022,0.05276456455,0.3663589358,0.6770785722,0.7654016541,0.3663589358,0.5408056428,1.138492313,0.3462831322
1,3,4,0.8882996714,0.7430485116,0.7438948438,0.07523025572,0.9192504217,0.8625701881,0.7096540165,0.7815892434,0.05644886723,0.4542268291,0.6782532269,0.7661022251,0.4542268291,0.5421970574,1.239741367,0.3888797046
